round_epochs,loss,val_loss,activation,batch_size,epochs,losses,optimizer
20,0.7183160781860352,0.7270320653915405,relu,30,20,categorical_crossentropy,Nadam
10,0.6536785364151001,0.6621533036231995,elu,40,10,categorical_crossentropy,Adam
